order_id,product_id,quantity,unit_price,line_total
377378,17,2,5.18,10.36
384091,11,2,7.33,14.66
384091,12,1,6.1,6.1
384091,30,5,3.91,19.55
386631,9,1,1.69,1.69
386631,20,4,1.16,4.64
386631,22,3,6.82,20.46
386631,23,3,3.65,10.95
386631,27,3,1.93,5.79
391372,19,3,3.22,9.66
393357,27,2,1.93,3.86
401821,1,2,9.46,18.92
401821,2,1,9.68,9.68
401821,10,3,0.79,2.37
401821,27,3,1.93,5.79
401821,28,4,5.94,23.76
403893,1,1,9.46,9.46
410996,19,1,3.22,3.22
420069,1,4,9.46,37.84
420069,10,5,0.79,3.95
420069,16,2,1.37,2.74
444014,9,4,1.69,6.76
444014,14,3,3.21,9.63
444014,16,5,1.37,6.85
444014,20,1,1.16,1.16
454638,2,2,9.68,19.36
454638,10,2,0.79,1.58
454638,22,4,6.82,27.28
454638,25,1,1.9,1.9
473844,2,5,9.68,48.4
473844,19,5,3.22,16.1
473844,29,4,1.87,7.48
473844,30,1,3.91,3.91
474142,17,4,5.18,20.72
475589,10,1,0.79,0.79
475589,12,3,6.1,18.3
475589,23,1,3.65,3.65
475589,29,2,1.87,3.74
480403,12,1,6.1,6.1
480403,17,1,5.18,5.18
480403,26,2,8.45,16.9
524043,1,2,9.46,18.92
524043,4,3,5.15,15.45
524043,19,2,3.22,6.44
526976,5,2,4.8,9.6
526976,22,3,6.82,20.46
532138,9,3,1.69,5.07
532138,19,3,3.22,9.66
532138,27,5,1.93,9.65
547862,10,2,0.79,1.58
573862,6,4,3.99,15.96
573862,15,5,6.29,31.45
573862,16,1,1.37,1.37
573862,22,2,6.82,13.64
573862,27,5,1.93,9.65
577254,1,2,9.46,18.92
577254,22,2,6.82,13.64
603451,22,1,6.82,6.82
603451,24,2,9.87,19.74
606645,6,4,3.99,15.96
606645,12,4,6.1,24.4
606645,26,2,8.45,16.9
616280,2,3,9.68,29.04
616280,17,2,5.18,10.36
616280,25,5,1.9,9.5
616280,29,4,1.87,7.48
621883,5,1,4.8,4.8
621883,8,3,9.18,27.54
621883,18,1,4.75,4.75
621883,26,4,8.45,33.8
628050,6,1,3.99,3.99
628050,13,4,9.74,38.96
628050,24,2,9.87,19.74
635945,14,3,3.21,9.63
635945,20,5,1.16,5.8
637637,23,1,3.65,3.65
637637,24,1,9.87,9.87
637637,26,2,8.45,16.9
637637,28,5,5.94,29.7
651706,1,5,9.46,47.3
673469,9,4,1.69,6.76
674688,6,2,3.99,7.98
674688,14,4,3.21,12.84
674688,19,2,3.22,6.44
674688,26,4,8.45,33.8
693068,2,3,9.68,29.04
693068,22,2,6.82,13.64
693068,29,3,1.87,5.61
693068,30,5,3.91,19.55
706234,1,2,9.46,18.92
706234,18,2,4.75,9.5
706234,20,1,1.16,1.16
706234,27,2,1.93,3.86
710311,10,2,0.79,1.58
712182,22,4,6.82,27.28
721849,1,2,9.46,18.92
721849,26,4,8.45,33.8
727269,2,4,9.68,38.72
727269,9,2,1.69,3.38
727269,14,5,3.21,16.05
727871,1,2,9.46,18.92
727871,10,3,0.79,2.37
727871,21,1,1.02,1.02
727871,23,3,3.65,10.95
741293,8,3,9.18,27.54
741293,12,2,6.1,12.2
742373,27,5,1.93,9.65
751418,8,2,9.18,18.36
751418,26,5,8.45,42.25
753425,25,5,1.9,9.5
755037,5,5,4.8,24.0
755037,14,1,3.21,3.21
755037,25,4,1.9,7.6
755037,30,2,3.91,7.82
772724,2,1,9.68,9.68
772724,3,1,3.2,3.2
772724,12,2,6.1,12.2
778538,12,1,6.1,6.1
778538,16,4,1.37,5.48
784054,6,1,3.99,3.99
784054,13,3,9.74,29.22
784054,18,3,4.75,14.25
784054,19,4,3.22,12.88
804923,20,3,1.16,3.48
804923,26,3,8.45,25.35
805082,4,1,5.15,5.15
805082,10,2,0.79,1.58
805082,12,5,6.1,30.5
805082,29,5,1.87,9.35
831452,8,4,9.18,36.72
831452,19,3,3.22,9.66
848603,5,1,4.8,4.8
848912,2,4,9.68,38.72
848912,11,5,7.33,36.65
848912,18,4,4.75,19.0
848912,21,5,1.02,5.1
849068,28,1,5.94,5.94
852930,14,4,3.21,12.84
852930,20,2,1.16,2.32
852930,27,5,1.93,9.65
852930,28,2,5.94,11.88
852930,29,5,1.87,9.35
853825,28,1,5.94,5.94
853825,29,2,1.87,3.74
868334,13,3,9.74,29.22
868334,20,3,1.16,3.48
868334,30,4,3.91,15.64
874010,1,3,9.46,28.38
874010,20,3,1.16,3.48
874010,23,2,3.65,7.3
874010,29,1,1.87,1.87
877919,3,1,3.2,3.2
877919,21,2,1.02,2.04
913291,1,4,9.46,37.84
913291,19,1,3.22,3.22
924125,1,5,9.46,47.3
924125,4,5,5.15,25.75
924125,12,1,6.1,6.1
924125,19,3,3.22,9.66
943606,16,4,1.37,5.48
943606,21,5,1.02,5.1
943606,23,5,3.65,18.25
955412,10,4,0.79,3.16
955412,18,3,4.75,14.25
963340,10,5,0.79,3.95
969492,1,2,9.46,18.92
969492,2,5,9.68,48.4
969492,16,3,1.37,4.11
982026,23,5,3.65,18.25
987088,3,3,3.2,9.6
987088,16,4,1.37,5.48
987088,18,2,4.75,9.5
987088,25,4,1.9,7.6
987088,30,2,3.91,7.82
1000104,7,5,6.31,31.55
1000814,8,3,9.18,27.54
1000814,11,1,7.33,7.33
1000814,20,1,1.16,1.16
1013164,11,1,7.33,7.33
1013164,19,3,3.22,9.66
1013164,27,1,1.93,1.93
1014077,9,4,1.69,6.76
1014077,11,4,7.33,29.32
1014418,1,2,9.46,18.92
1014418,6,5,3.99,19.95
1014418,8,5,9.18,45.9
1014418,15,5,6.29,31.45
1014418,18,3,4.75,14.25
1039662,1,4,9.46,37.84
1039662,2,1,9.68,9.68
1039662,5,1,4.8,4.8
1039662,23,3,3.65,10.95
1039662,30,2,3.91,7.82
1043894,2,3,9.68,29.04
1043894,8,2,9.18,18.36
1043894,23,4,3.65,14.6
1043894,25,1,1.9,1.9
1047652,8,3,9.18,27.54
1047652,10,1,0.79,0.79
1047652,22,5,6.82,34.1
1047652,29,4,1.87,7.48
1054292,1,5,9.46,47.3
1054292,14,2,3.21,6.42
1069025,7,5,6.31,31.55
1069025,9,4,1.69,6.76
1070366,6,5,3.99,19.95
1070366,14,5,3.21,16.05
1070366,22,3,6.82,20.46
1070622,15,2,6.29,12.58
1070622,18,1,4.75,4.75
1070622,21,2,1.02,2.04
1075707,14,1,3.21,3.21
1075707,23,3,3.65,10.95
1075707,26,4,8.45,33.8
1077208,3,3,3.2,9.6
1077208,5,2,4.8,9.6
1077208,6,5,3.99,19.95
1077208,8,2,9.18,18.36
1077208,22,4,6.82,27.28
1081229,2,3,9.68,29.04
1081229,12,2,6.1,12.2
1081229,21,3,1.02,3.06
1098235,5,1,4.8,4.8
1098235,10,5,0.79,3.95
1098235,19,2,3.22,6.44
1098235,25,1,1.9,1.9
1102656,8,5,9.18,45.9
1102656,13,3,9.74,29.22
1102656,17,4,5.18,20.72
1102656,29,1,1.87,1.87
1103575,17,4,5.18,20.72
1116557,5,1,4.8,4.8
1118684,14,4,3.21,12.84
1119467,11,2,7.33,14.66
1119467,18,5,4.75,23.75
1123512,16,2,1.37,2.74
1123512,25,2,1.9,3.8
1127331,5,4,4.8,19.2
1127331,14,2,3.21,6.42
1127331,15,5,6.29,31.45
1127331,17,1,5.18,5.18
1133475,8,2,9.18,18.36
1133475,11,2,7.33,14.66
1133475,22,1,6.82,6.82
1133475,23,4,3.65,14.6
1133475,29,5,1.87,9.35
1140013,12,2,6.1,12.2
1151874,2,3,9.68,29.04
1151874,18,5,4.75,23.75
1172348,1,2,9.46,18.92
1172348,16,1,1.37,1.37
1193031,3,5,3.2,16.0
1193031,16,4,1.37,5.48
1203253,1,3,9.46,28.38
1203253,7,2,6.31,12.62
1203253,12,1,6.1,6.1
1203253,16,2,1.37,2.74
1205719,20,3,1.16,3.48
1205719,23,5,3.65,18.25
1209124,1,5,9.46,47.3
1209124,7,4,6.31,25.24
1209124,24,1,9.87,9.87
1236646,5,4,4.8,19.2
1236646,22,4,6.82,27.28
1236646,24,1,9.87,9.87
1236646,28,1,5.94,5.94
1239306,21,4,1.02,4.08
1239306,27,5,1.93,9.65
1243873,11,2,7.33,14.66
1275214,5,1,4.8,4.8
1275214,10,4,0.79,3.16
1276688,10,5,0.79,3.95
1276688,22,1,6.82,6.82
1283037,5,5,4.8,24.0
1283037,11,4,7.33,29.32
1283037,20,1,1.16,1.16
1286062,18,1,4.75,4.75
1290146,15,1,6.29,6.29
1313730,3,3,3.2,9.6
1313730,11,4,7.33,29.32
1313730,13,5,9.74,48.7
1313730,16,4,1.37,5.48
1313730,24,4,9.87,39.48
1315572,7,3,6.31,18.93
1315572,19,3,3.22,9.66
1317857,7,5,6.31,31.55
1317857,8,3,9.18,27.54
1317857,26,4,8.45,33.8
1337833,4,3,5.15,15.45
1337833,9,1,1.69,1.69
1337833,17,5,5.18,25.9
1337833,24,2,9.87,19.74
1343916,29,5,1.87,9.35
1349668,10,4,0.79,3.16
1349668,25,4,1.9,7.6
1349668,29,5,1.87,9.35
1371569,23,5,3.65,18.25
1411290,12,2,6.1,12.2
1411290,24,5,9.87,49.35
1430466,11,5,7.33,36.65
1430466,23,5,3.65,18.25
1430466,25,5,1.9,9.5
1442413,17,5,5.18,25.9
1454044,2,5,9.68,48.4
1454044,7,5,6.31,31.55
1454044,18,5,4.75,23.75
1454044,19,3,3.22,9.66
1475153,10,2,0.79,1.58
1475153,11,2,7.33,14.66
1475153,16,4,1.37,5.48
1475153,27,4,1.93,7.72
1477843,2,2,9.68,19.36
1477843,18,2,4.75,9.5
1479142,5,5,4.8,24.0
1479142,8,2,9.18,18.36
1479142,29,2,1.87,3.74
1480120,15,1,6.29,6.29
1497336,11,3,7.33,21.99
1497336,19,4,3.22,12.88
1497336,23,1,3.65,3.65
1522731,13,3,9.74,29.22
1527536,18,2,4.75,9.5
1538074,4,5,5.15,25.75
1538074,5,2,4.8,9.6
1538074,10,2,0.79,1.58
1538074,27,3,1.93,5.79
1540644,1,2,9.46,18.92
1540644,23,4,3.65,14.6
1540644,24,2,9.87,19.74
1540644,30,1,3.91,3.91
1551767,2,4,9.68,38.72
1551767,4,5,5.15,25.75
1582362,5,1,4.8,4.8
1582362,12,4,6.1,24.4
1582362,13,1,9.74,9.74
1585749,15,4,6.29,25.16
1599778,2,2,9.68,19.36
1599778,3,5,3.2,16.0
1599778,17,3,5.18,15.54
1599778,18,5,4.75,23.75
1599778,21,3,1.02,3.06
1612512,6,3,3.99,11.97
1612512,25,5,1.9,9.5
1633921,27,4,1.93,7.72
1634547,13,1,9.74,9.74
1634547,15,2,6.29,12.58
1634547,23,5,3.65,18.25
1634547,27,1,1.93,1.93
1638946,6,5,3.99,19.95
1638946,18,3,4.75,14.25
1638946,27,3,1.93,5.79
1647704,2,5,9.68,48.4
1647704,17,2,5.18,10.36
1647704,21,5,1.02,5.1
1649190,1,4,9.46,37.84
1649190,16,5,1.37,6.85
1649190,23,5,3.65,18.25
1649190,25,2,1.9,3.8
1649190,29,1,1.87,1.87
1677938,8,5,9.18,45.9
1677938,12,2,6.1,12.2
1677938,13,5,9.74,48.7
1677938,28,5,5.94,29.7
1679205,15,2,6.29,12.58
1679205,26,1,8.45,8.45
1679205,29,5,1.87,9.35
1688878,1,5,9.46,47.3
1688878,10,2,0.79,1.58
1688878,21,4,1.02,4.08
1691804,5,1,4.8,4.8
1691804,12,2,6.1,12.2
1691804,14,2,3.21,6.42
1691804,15,5,6.29,31.45
1691804,22,1,6.82,6.82
1701465,11,4,7.33,29.32
1701465,12,4,6.1,24.4
1701465,16,4,1.37,5.48
1701465,29,1,1.87,1.87
1708787,23,4,3.65,14.6
1708787,28,1,5.94,5.94
1714334,6,2,3.99,7.98
1714334,12,1,6.1,6.1
1714334,13,2,9.74,19.48
1714334,24,5,9.87,49.35
1714334,30,3,3.91,11.73
1714538,4,5,5.15,25.75
1714538,11,2,7.33,14.66
1714538,14,4,3.21,12.84
1714538,27,3,1.93,5.79
1735807,2,4,9.68,38.72
1735807,7,3,6.31,18.93
1735807,18,5,4.75,23.75
1735807,28,1,5.94,5.94
1735807,29,3,1.87,5.61
1738326,14,4,3.21,12.84
1757350,4,2,5.15,10.3
1760828,19,5,3.22,16.1
1765278,5,2,4.8,9.6
1765278,13,2,9.74,19.48
1765998,6,4,3.99,15.96
1765998,8,3,9.18,27.54
1765998,25,1,1.9,1.9
1769416,26,3,8.45,25.35
1771709,1,4,9.46,37.84
1771709,4,3,5.15,15.45
1771709,13,2,9.74,19.48
1771709,19,1,3.22,3.22
1771709,26,3,8.45,25.35
1779872,2,2,9.68,19.36
1779872,16,3,1.37,4.11
1779872,27,2,1.93,3.86
1791839,22,2,6.82,13.64
1795392,16,4,1.37,5.48
1795392,17,3,5.18,15.54
1795392,18,5,4.75,23.75
1795392,22,2,6.82,13.64
1795392,30,2,3.91,7.82
1798904,1,4,9.46,37.84
1807675,7,2,6.31,12.62
1807675,18,1,4.75,4.75
1810749,10,2,0.79,1.58
1834034,27,4,1.93,7.72
1836582,21,2,1.02,2.04
1838227,16,1,1.37,1.37
1838227,19,4,3.22,12.88
1839014,5,5,4.8,24.0
1839014,6,4,3.99,15.96
1839014,11,2,7.33,14.66
1848744,8,3,9.18,27.54
1848744,12,3,6.1,18.3
1848744,20,3,1.16,3.48
1857048,7,3,6.31,18.93
1857048,8,2,9.18,18.36
1857048,12,2,6.1,12.2
1857048,14,3,3.21,9.63
1857379,10,2,0.79,1.58
1857379,14,3,3.21,9.63
1857379,20,5,1.16,5.8
1857379,28,5,5.94,29.7
1861298,2,3,9.68,29.04
1861298,5,3,4.8,14.4
1861298,14,5,3.21,16.05
1861298,27,5,1.93,9.65
1869007,8,5,9.18,45.9
1887683,5,4,4.8,19.2
1887683,12,1,6.1,6.1
1887683,15,3,6.29,18.87
1887683,22,5,6.82,34.1
1895288,5,3,4.8,14.4
1895288,9,2,1.69,3.38
1895288,11,1,7.33,7.33
1895288,27,5,1.93,9.65
1895288,30,2,3.91,7.82
1905989,14,2,3.21,6.42
1905989,21,4,1.02,4.08
1907124,13,2,9.74,19.48
1907124,23,2,3.65,7.3
1907124,24,3,9.87,29.61
1961838,17,1,5.18,5.18
1961838,26,1,8.45,8.45
1962342,1,5,9.46,47.3
1962342,4,5,5.15,25.75
1962342,26,3,8.45,25.35
1980512,1,1,9.46,9.46
1980512,6,2,3.99,7.98
1980512,13,1,9.74,9.74
1980512,29,1,1.87,1.87
1985766,1,5,9.46,47.3
1999529,7,4,6.31,25.24
1999529,18,4,4.75,19.0
2001960,22,5,6.82,34.1
2001960,29,4,1.87,7.48
2026288,14,3,3.21,9.63
2026288,19,1,3.22,3.22
2044800,27,3,1.93,5.79
2050452,14,5,3.21,16.05
2050452,26,2,8.45,16.9
2064744,2,3,9.68,29.04
2064744,4,3,5.15,15.45
2064744,7,1,6.31,6.31
2064744,8,5,9.18,45.9
2064744,24,4,9.87,39.48
2079720,17,5,5.18,25.9
2079720,19,1,3.22,3.22
2079720,22,5,6.82,34.1
2103878,18,2,4.75,9.5
2119299,1,1,9.46,9.46
2119299,4,2,5.15,10.3
2119299,13,2,9.74,19.48
2119299,19,2,3.22,6.44
2119299,26,1,8.45,8.45
2122749,1,5,9.46,47.3
2122749,2,1,9.68,9.68
2122749,14,2,3.21,6.42
2122749,25,3,1.9,5.7
2124198,15,3,6.29,18.87
2125659,21,1,1.02,1.02
2126725,7,3,6.31,18.93
2126725,11,2,7.33,14.66
2126725,26,5,8.45,42.25
2131427,9,2,1.69,3.38
2131427,29,2,1.87,3.74
2138733,28,4,5.94,23.76
2145237,15,4,6.29,25.16
2145237,18,5,4.75,23.75
2145237,19,5,3.22,16.1
2145237,27,4,1.93,7.72
2168777,4,4,5.15,20.6
2168777,9,2,1.69,3.38
2168777,14,3,3.21,9.63
2168777,22,5,6.82,34.1
2168777,26,4,8.45,33.8
2177095,14,4,3.21,12.84
2178896,6,4,3.99,15.96
2178896,8,5,9.18,45.9
2178896,12,1,6.1,6.1
2178896,18,3,4.75,14.25
2178896,30,5,3.91,19.55
2188418,8,1,9.18,9.18
2188418,12,2,6.1,12.2
2188418,18,2,4.75,9.5
2188418,22,1,6.82,6.82
2188418,24,2,9.87,19.74
2189235,7,2,6.31,12.62
2189235,10,2,0.79,1.58
2189235,11,3,7.33,21.99
2189235,17,5,5.18,25.9
2189235,18,1,4.75,4.75
2194624,4,5,5.15,25.75
2205784,16,5,1.37,6.85
2205784,18,4,4.75,19.0
2205784,23,2,3.65,7.3
2205784,26,3,8.45,25.35
2205784,29,5,1.87,9.35
2207860,10,1,0.79,0.79
2219456,2,3,9.68,29.04
2219456,9,4,1.69,6.76
2219997,28,3,5.94,17.82
2219997,29,1,1.87,1.87
2221839,2,3,9.68,29.04
2221839,6,1,3.99,3.99
2221839,9,1,1.69,1.69
2221839,20,1,1.16,1.16
2222237,12,5,6.1,30.5
2222237,13,2,9.74,19.48
2225326,3,2,3.2,6.4
2225326,12,5,6.1,30.5
2225326,21,2,1.02,2.04
2251518,5,5,4.8,24.0
2251518,7,3,6.31,18.93
2251518,11,1,7.33,7.33
2251518,25,1,1.9,1.9
2269201,1,5,9.46,47.3
2273965,19,5,3.22,16.1
2273965,21,1,1.02,1.02
2273965,23,3,3.65,10.95
2273965,24,3,9.87,29.61
2278057,1,5,9.46,47.3
2278057,16,2,1.37,2.74
2278057,22,1,6.82,6.82
2278057,27,1,1.93,1.93
2333229,3,5,3.2,16.0
2333229,29,2,1.87,3.74
2339326,7,4,6.31,25.24
2339326,24,1,9.87,9.87
2348700,1,3,9.46,28.38
2348700,22,2,6.82,13.64
2348700,25,3,1.9,5.7
2348700,29,4,1.87,7.48
2348700,30,2,3.91,7.82
2349775,3,2,3.2,6.4
2356645,2,1,9.68,9.68
2356645,9,3,1.69,5.07
2356645,15,1,6.29,6.29
2356645,16,5,1.37,6.85
2356645,26,1,8.45,8.45
2405964,11,4,7.33,29.32
2428717,3,3,3.2,9.6
2428717,8,2,9.18,18.36
2428717,10,1,0.79,0.79
2428717,13,2,9.74,19.48
2428717,16,5,1.37,6.85
2429061,3,1,3.2,3.2
2429061,13,3,9.74,29.22
2446157,12,5,6.1,30.5
2446157,14,4,3.21,12.84
2446157,29,5,1.87,9.35
2458841,22,3,6.82,20.46
2458992,16,3,1.37,4.11
2465348,2,2,9.68,19.36
2465348,15,3,6.29,18.87
2468643,1,4,9.46,37.84
2468643,3,3,3.2,9.6
2468643,13,3,9.74,29.22
2473364,2,3,9.68,29.04
2473364,11,5,7.33,36.65
2473364,12,4,6.1,24.4
2478890,2,2,9.68,19.36
2478890,5,1,4.8,4.8
2478890,9,4,1.69,6.76
2478890,27,1,1.93,1.93
2504392,9,5,1.69,8.45
2504392,13,4,9.74,38.96
2508740,26,1,8.45,8.45
2543900,9,3,1.69,5.07
2543900,12,3,6.1,18.3
2562603,9,5,1.69,8.45
2562603,17,4,5.18,20.72
2562603,22,1,6.82,6.82
2566500,7,2,6.31,12.62
2566500,13,4,9.74,38.96
2566500,27,3,1.93,5.79
2569001,12,1,6.1,6.1
2569001,17,5,5.18,25.9
2569001,23,2,3.65,7.3
2569001,26,4,8.45,33.8
2569613,5,4,4.8,19.2
2569613,14,5,3.21,16.05
2569613,17,1,5.18,5.18
2572820,14,5,3.21,16.05
2575008,19,1,3.22,3.22
2575008,23,2,3.65,7.3
2575008,29,2,1.87,3.74
2575008,30,5,3.91,19.55
2582879,3,2,3.2,6.4
2582879,21,4,1.02,4.08
2588848,3,1,3.2,3.2
2588848,20,1,1.16,1.16
2588848,22,1,6.82,6.82
2588848,26,1,8.45,8.45
2602996,1,4,9.46,37.84
2602996,11,5,7.33,36.65
2602996,18,4,4.75,19.0
2602996,21,2,1.02,2.04
2602996,29,4,1.87,7.48
2611736,1,5,9.46,47.3
2611736,11,5,7.33,36.65
2611736,13,4,9.74,38.96
2611736,19,5,3.22,16.1
2611736,30,5,3.91,19.55
2616523,3,3,3.2,9.6
2633600,1,3,9.46,28.38
2633600,9,5,1.69,8.45
2633600,20,4,1.16,4.64
2637283,9,1,1.69,1.69
2637283,23,2,3.65,7.3
2639919,14,2,3.21,6.42
2640609,4,2,5.15,10.3
2640609,15,5,6.29,31.45
2640609,17,3,5.18,15.54
2640609,19,3,3.22,9.66
2640609,21,2,1.02,2.04
2667748,1,2,9.46,18.92
2667748,3,3,3.2,9.6
2667748,7,3,6.31,18.93
2667748,11,2,7.33,14.66
2673474,6,5,3.99,19.95
2673474,7,3,6.31,18.93
2673474,16,3,1.37,4.11
2673474,19,5,3.22,16.1
2678050,11,2,7.33,14.66
2678050,19,1,3.22,3.22
2678050,20,3,1.16,3.48
2678050,28,3,5.94,17.82
2678050,29,4,1.87,7.48
2700811,1,1,9.46,9.46
2700811,6,3,3.99,11.97
2700811,17,2,5.18,10.36
2700811,22,2,6.82,13.64
2700811,25,5,1.9,9.5
2704594,7,2,6.31,12.62
2704594,14,1,3.21,3.21
2716572,6,2,3.99,7.98
2716572,29,2,1.87,3.74
2735700,16,2,1.37,2.74
2735700,18,3,4.75,14.25
2735700,24,1,9.87,9.87
2735700,25,2,1.9,3.8
2737104,14,2,3.21,6.42
2737104,20,1,1.16,1.16
2737104,21,5,1.02,5.1
2758652,6,1,3.99,3.99
2758652,13,2,9.74,19.48
2758652,16,1,1.37,1.37
2758652,26,1,8.45,8.45
2758652,29,5,1.87,9.35
2760420,12,1,6.1,6.1
2760420,14,3,3.21,9.63
2760420,23,3,3.65,10.95
2760420,25,4,1.9,7.6
2802726,7,4,6.31,25.24
2802726,11,5,7.33,36.65
2802726,21,1,1.02,1.02
2802726,30,5,3.91,19.55
2808306,5,1,4.8,4.8
2808306,7,4,6.31,25.24
2808306,29,1,1.87,1.87
2818981,5,4,4.8,19.2
2818981,12,1,6.1,6.1
2818981,16,3,1.37,4.11
2837515,24,3,9.87,29.61
2848792,11,2,7.33,14.66
2848792,17,4,5.18,20.72
2849697,4,5,5.15,25.75
2849697,18,5,4.75,23.75
2853925,1,4,9.46,37.84
2853925,2,1,9.68,9.68
2853925,15,1,6.29,6.29
2853925,19,5,3.22,16.1
2853925,20,4,1.16,4.64
2871493,1,3,9.46,28.38
2871493,8,3,9.18,27.54
2871493,23,2,3.65,7.3
2871719,10,1,0.79,0.79
2871719,12,4,6.1,24.4
2871719,18,2,4.75,9.5
2871719,19,3,3.22,9.66
2871719,24,5,9.87,49.35
2888480,8,4,9.18,36.72
2888480,9,2,1.69,3.38
2888480,15,4,6.29,25.16
2888480,26,2,8.45,16.9
2888605,3,2,3.2,6.4
2888605,6,5,3.99,19.95
2893532,14,2,3.21,6.42
2893532,23,3,3.65,10.95
2893532,25,4,1.9,7.6
2896714,8,3,9.18,27.54
2896714,14,4,3.21,12.84
2896714,20,4,1.16,4.64
2896714,29,1,1.87,1.87
2915186,2,2,9.68,19.36
2915186,15,1,6.29,6.29
2923133,13,4,9.74,38.96
2923133,17,3,5.18,15.54
2923133,19,1,3.22,3.22
2923133,21,3,1.02,3.06
2923133,30,4,3.91,15.64
2924623,13,5,9.74,48.7
2924623,19,2,3.22,6.44
2924623,22,5,6.82,34.1
2924623,29,2,1.87,3.74
2941348,4,3,5.15,15.45
2958261,14,4,3.21,12.84
2958261,15,4,6.29,25.16
2958261,30,5,3.91,19.55
2965386,16,2,1.37,2.74
2965386,18,1,4.75,4.75
2965386,22,5,6.82,34.1
2965386,27,2,1.93,3.86
2965386,30,5,3.91,19.55
2968743,8,1,9.18,9.18
2968743,10,2,0.79,1.58
2968743,14,1,3.21,3.21
2968743,24,5,9.87,49.35
2978037,16,3,1.37,4.11
2994867,6,1,3.99,3.99
2994867,10,4,0.79,3.16
2994867,18,5,4.75,23.75
3004192,12,2,6.1,12.2
3004192,26,2,8.45,16.9
3018917,14,5,3.21,16.05
3024270,1,1,9.46,9.46
3024270,5,2,4.8,9.6
3024270,21,3,1.02,3.06
3024270,25,2,1.9,3.8
3028048,6,3,3.99,11.97
3028048,14,1,3.21,3.21
3028048,26,2,8.45,16.9
3031224,4,1,5.15,5.15
3031224,17,2,5.18,10.36
3054647,25,4,1.9,7.6
3054647,29,5,1.87,9.35
3059091,11,3,7.33,21.99
3059091,16,3,1.37,4.11
3059091,17,1,5.18,5.18
3059091,23,5,3.65,18.25
3059091,28,2,5.94,11.88
3063076,20,5,1.16,5.8
3076217,8,4,9.18,36.72
3076217,16,2,1.37,2.74
3076217,22,4,6.82,27.28
3082078,25,2,1.9,3.8
3083394,9,4,1.69,6.76
3083394,14,5,3.21,16.05
3083394,26,2,8.45,16.9
3083394,27,5,1.93,9.65
3092294,7,5,6.31,31.55
3092294,12,2,6.1,12.2
3092294,21,2,1.02,2.04
3092294,28,4,5.94,23.76
3096439,13,2,9.74,19.48
3096439,19,5,3.22,16.1
3096439,21,4,1.02,4.08
3096439,27,2,1.93,3.86
3096439,28,1,5.94,5.94
